Country/Region,Cumulative male cases,Cumulative female cases,Cumulative total cases,Median age (range),No. of deaths,Case fatalities ratio (%),Number of imported cases (%),Number of HCW affected (%),Date onset first probable case,Date onset last probable case
Australia,4,2,6,15 (1-45),0,0,6 (100),0 (0),26-Feb-03,1-Apr-03
Canada,151,100,251,49 (1-98),43,17,5 (2),109 (43),23-Feb-03,12-Jun-03
China,2674,2607,5327^b,Not available,349,7,Not Applicable,1002 (19),16-Nov-02,3-Jun-03
"China, Hong Kong Special Administrative Region",977,778,1755,40 (0-100),299,17,Not Applicable,386 (22),15-Feb-03,31-May-03
"China, Macao Special Administrative Region",0,1,1,28,0,0,1 (100),0 (0),5-May-03,5-May-03
"China, Taiwan",218,128,346^c,42 (0-93),37,11,21 (6),68 (20),25-Feb-03,15-Jun-03
France,1,6,7,49 (26 - 61),1,14,7 (100),2 (29)^d,21-Mar-03,3-May-03
Germany,4,5,9,44 (4-73),0,0,9 (100),1 (11),9-Mar-03,6-May-03
India,0,3,3,25 (25-30),0,0,3 (100),0 (0),25-Apr-03,6-May-03
Indonesia,0,2,2,56 (47-65),0,0,2 (100),0 (0),6-Apr-03,17-Apr-03
Italy,1,3,4,30.5 (25-54),0,0,4 (100),0 (0),12-Mar-03,20-Apr-03
Kuwait,1,0,1,50,0,0,1 (100),0 (0),9-Apr-03,9-Apr-03
Malaysia,1,4,5,30 (26-84),2,40,5 (100),0 (0),14-Mar-03,22-Apr-03
Mongolia,8,1,9,32 (17-63),0,0,8 (89),0 (0),31-Mar-03,6-May-03
New Zealand,1,0,1,67,0,0,1 (100),0 (0),20-Apr-03,20-Apr-03
Philippines,8,6,14,41 (29-73),2,14,7 (50),4 (29),25-Feb-03,5-May-03
Republic of Ireland,0,1,1,56,0,0,1 (100),0 (0),27-Feb-03,27-Feb-03
Republic of Korea,0,3,3,40 (20-80),0,0,3 (100),0 (0),25-Apr-03,10-May-03
Romania,0,1,1,52,0,0,1 (100),0 (0),19-Mar-03,19-Mar-03
Russian Federation,0,1,1,25,0,0,Not Available,0 (0),5-May-03,5-May-03
Singapore,161,77,238,35 (1-90),33,14,8 (3),97 (41),25-Feb-03,5-May-03
South Africa,0,1,1,62,1,100,1 (100),0 (0),3-Apr-03,3-Apr-03
Spain,0,1,1,33,0,0,1 (100),0 (0),26-Mar-03,26-Mar-03
Sweden,3,2,5,43 (33-55),0,0,5 (100),0 (0),28-Mar-03,23-Apr-03
Switzerland,0,1,1,35,0,0,1 (100),0 (0),9-Mar-03,9-Mar-03
Thailand,5,4,9,42 (2-79),2,22,9 (100),1 (11)^d,11-Mar-03,27-May-03
United Kingdom,2,2,4,59 (28-74),0,0,4 (100),0 (0),1-Mar-03,1-Apr-03
United States,13,14,27,36 (0-83),0,0,27 (100),0 (0),24-Feb-03,13-Jul-03^e
Viet Nam,39,24,63,43 (20-76),5,8,1 (2),36 (57),23-Feb-03,14-Apr-03
